month,side,games,avg_pred_prob,actual_win_rate,calibration_error,abs_calibration_error,direction,brier
2025-03,away,66,0.49557307516083576,0.3787878787878788,-0.11678519637295698,0.11678519637295698,overconfident,0.24335219217990894
2025-03,home,66,0.5044269248391642,0.6212121212121212,0.11678519637295703,0.11678519637295703,underconfident,0.24335219217990894
2025-04,away,377,0.47331343230739514,0.3925729442970822,-0.08074048801031292,0.08074048801031292,overconfident,0.23701771916158654
2025-04,home,377,0.5266865676926048,0.6074270557029178,0.08074048801031297,0.08074048801031297,underconfident,0.23701771916158654
2025-05,away,398,0.46818390454179676,0.4748743718592965,0.0066904673174997265,0.0066904673174997265,underconfident,0.24515977354473137
2025-05,home,398,0.5318160954582033,0.5251256281407035,-0.006690467317499782,0.006690467317499782,overconfident,0.24515977354473137
2025-06,away,383,0.46290247137646134,0.4830287206266319,0.020126249250170536,0.020126249250170536,underconfident,0.2477262718551723
2025-06,home,383,0.5370975286235387,0.5169712793733682,-0.02012624925017048,0.02012624925017048,overconfident,0.2477262718551723
2025-07,away,357,0.4594634323226972,0.4425770308123249,-0.016886401510372295,0.016886401510372295,overconfident,0.24572231406984993
2025-07,home,357,0.5405365676773027,0.5574229691876751,0.01688640151037235,0.01688640151037235,underconfident,0.24572231406984993
2025-08,away,406,0.46640373201205815,0.4729064039408867,0.0065026719288285295,0.0065026719288285295,underconfident,0.24578308042667138
2025-08,home,406,0.5335962679879419,0.5270935960591133,-0.006502671928828585,0.006502671928828585,overconfident,0.24578308042667138
2025-09,away,348,0.45870748415760615,0.47701149425287354,0.018304010095267387,0.018304010095267387,underconfident,0.24079335299108592
2025-09,home,348,0.5412925158423939,0.5229885057471264,-0.018304010095267498,0.018304010095267498,overconfident,0.24079335299108592
2026-03,away,166,0.48643687277673237,0.39156626506024095,-0.09487060771649142,0.09487060771649142,overconfident,0.24687190932719108
2026-03,home,166,0.5135631272232676,0.608433734939759,0.09487060771649147,0.09487060771649147,underconfident,0.24687190932719108
2026-04,away,389,0.46802060405668683,0.4704370179948586,0.0024164139381717686,0.0024164139381717686,underconfident,0.24898911494360068
2026-04,home,389,0.5319793959433131,0.5295629820051414,-0.002416413938171713,0.002416413938171713,overconfident,0.24898911494360068
2026-05,away,80,0.4685629488527775,0.4875,0.018937051147222494,0.018937051147222494,underconfident,0.23948623630016913
2026-05,home,80,0.5314370511472225,0.5125,-0.01893705114722255,0.01893705114722255,overconfident,0.23948623630016913
